0d,1x1ro_001ro_1,1x1ro_001ro_2,1x1ro_001ro_3,1x1ro_001ro_4,1x1ro_001ro_5,110_001_1,110_001_2,110_001_3,110_001_4,110_001_5,1h00_011l_1,1h00_011l_2,1h00_011l_3,1h00_011l_4,1h00_011l_5,0ud_11r_1,0ud_11r_2,0ud_11r_3,0ud_11r_4,0ud_11r_5,r11ul1,111c0al0z1
669,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,11,Dental assistant
673,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,"College of Education, Department of Basic Education"
674,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,"College of Education, Department of Basic Education"
675,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,"College of Education, Department of Basic Education"
676,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,"College of Education, Department of Basic Education"
677,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,Legal assistant
678,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,Legal assistant
679,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,Legal assistant
680,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,Legal assistant
681,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
682,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
683,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
684,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
685,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1001,Public Relations and Marketing
686,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
687,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
688,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
689,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
690,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
691,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
692,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
693,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
694,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1101,"College of Education, Department of Basic Education"
695,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1101,"College of Education, Department of Basic Education"
696,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1101,"College of Education, Department of Basic Education"
697,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1101,"College of Education, Department of Basic Education"
698,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
699,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
700,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
701,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
702,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
703,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
704,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
705,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
706,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1001,"College of Business and Financial Management, Accounting Department"
707,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1001,"College of Business and Financial Management, Accounting Department"
708,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1001,"College of Business and Financial Management, Accounting Department"
709,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1001,"College of Business and Financial Management, Accounting Department"
710,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
711,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
712,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
713,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
714,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
715,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
716,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
717,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
722,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
723,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
724,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
725,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
730,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in Arabic
731,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in Arabic
732,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in Arabic
733,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in Arabic
734,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in English
735,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in English
736,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in English
737,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1110,Law in English
738,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
739,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
740,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
741,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
742,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
743,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
744,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
745,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
750,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in Arabic
751,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in Arabic
752,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in Arabic
753,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in Arabic
754,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in English
755,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in English
756,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in English
757,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1010,Law in English
758,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1010,College of Business and Finance Administration Department of Administration
759,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1010,College of Business and Finance Administration Department of Administration
760,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1010,College of Business and Finance Administration Department of Administration
761,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1010,College of Business and Finance Administration Department of Administration
762,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,11,College of Business and Finance Administration Department of Administration
763,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,11,College of Business and Finance Administration Department of Administration
764,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in Arabic
765,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in Arabic
766,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in Arabic
767,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in Arabic
768,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in English
769,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in English
770,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in English
771,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1011,Law in English
772,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
773,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
774,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
775,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
776,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
777,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
778,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
779,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
780,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
781,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
782,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
783,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
784,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in Arabic
785,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in Arabic
786,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in Arabic
787,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in Arabic
788,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in English
789,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in English
790,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in English
791,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1001,Law in English
